Model,Task ID,Split,Overall,Stored Overall,Overall Delta,FLAE,Read.,Insh.,Stru.,TRACE,Vef.,Con.,Cov.,Fid.,MOSAIC,Sem.,Acc.,VQA,Complete,Report Path,Report SHA256,MOSAIC Summary Path,MOSAIC Summary SHA256
Gemini 3.1 Flash Lite,Q12,Research,41.9037,41.904,-0.0003,47.612,58.386372,49.07041,35.75,64.7626,100.0,18.0,40.0,60.0,0.0,,,,True,reports/Q12.md,abb6e35e6e34ddfcd2b0ad3d420e356507e02feaaf4d5890b85f86ff8d62c09a,reports/mm/Q12/mm_router_routed/final_summary.json,270271470991e9d0d97c865fe34280df3cfd34dd6e05b9c123c8c10a045d2681
Gemini 3.1 Flash Lite,Q11,Research,67.2228,67.223,-0.0002,70.688,64.39081,97.072852,61.75,72.6058,100.0,39.75,75.0,50.0,55.941,50.127135,100.0,0.25427,True,reports/Q11.md,524498f5dd46b6a08a88e345908cacd2b280db07b571a6190d2b2db5654e9107,reports/mm/Q11/mm_router_routed/final_summary.json,4995f2154574be8437036999bee122cfb325787c144b35a78cf6f1fc80e6c21f
Gemini 3.1 Flash Lite,Q14,Research,65.0614,65.061,0.0004,69.55,63.265516,97.656123,58.5,64.1602,100.0,42.333333,53.333333,0.0,63.571,57.142925,100.0,0.000158,True,reports/Q14.md,37416ce3774cd0f5a677386a39177363861d9777ca857150b3cff4149e7e51ba,reports/mm/Q14/mm_router_routed/final_summary.json,fbaf181d765cde8ee48c68efacdde2a2be7e586fadefb264d7651d7278f5ab43
Gemini 3.1 Flash Lite,Q13,Research,57.8235,57.824,-0.0005,64.268,60.623552,97.072852,58.5,47.44,100.0,6.0,0.0,0.0,70.833,66.666667,100.0,0.0,True,reports/Q13.md,3b862ef91cda2435254af9a5a6ef521536fec0549b6fe21d2ca2c85f88d0bb6b,reports/mm/Q13/mm_router_routed/final_summary.json,1bedfa0fcebc0bc5a02140bb3358b5a0f34048c38a6bb4c49b7a4f24942c18b9
Gemini 3.1 Flash Lite,Q15,Research,31.2974,31.297,0.0004,45.292,52.534925,49.07041,35.75,7.1904,0.0,9.0,0.0,0.0,62.146,57.146524,100.0,0.008557,True,reports/Q15.md,54a483c6b1904c4f74accb989878d482c3f1cd65e41872a11285256a14a89523,reports/mm/Q15/mm_router_routed/final_summary.json,8f01ad9c5df6458a9a9b9c2ec6b8ca13e5cfc05783d67e4356a468c687b53d97
Gemini 3.1 Flash Lite,Q16,Research,75.485,75.485,0.0,66.942,62.795129,92.655518,55.25,64.1932,100.0,27.2,36.0,53.731343,100.0,100.0,100.0,,True,reports/Q16.md,04183751139a92df8ad5b2b29dd9ab968ef157f138506d002e112136ca7f7f5b,reports/mm/Q16/mm_router_routed/final_summary.json,a790c20a1ffc2ef8c484cf08e26aa4d41aa6e5ad899f55a20fd8d339746b5150
Gemini 3.1 Flash Lite,Q17,Research,46.0665,46.067,-0.0005,69.335,63.409677,96.5,58.5,47.44,100.0,6.0,0.0,0.0,28.265,20.294677,33.333333,0.736692,True,reports/Q17.md,fc28fa5ce20df761257269f4aab7b02f7d14e5d7a64909f6e212846025c4b2ba,reports/mm/Q17/mm_router_routed/final_summary.json,32d850ed4e9886607a6250848239155f817a702f8d7a22445c78c5f1f52646cd
Gemini 3.1 Flash Lite,Q18,Research,55.137,55.137,0.0,65.849,63.570025,98.25,58.5,44.8624,100.0,6.0,0.0,0.0,65.12,60.133336,100.0,0.33334,True,reports/Q18.md,7565b1a9cec71f3c433bd27f8b5a0a899fa68207019ad8e00af8e47b271af7b7,reports/mm/Q18/mm_router_routed/final_summary.json,d6e52bb00beb271bc11ab6ff9d52471a0b83697486d230888321a343b2bc1c4e
Gemini 3.1 Flash Lite,Q19,Research,37.5836,37.584,-0.0004,49.479,43.318625,66.303727,52.0,47.0686,100.0,6.0,0.0,0.0,13.845,1.890854,,1.890854,True,reports/Q19.md,39d5b6839553980c30328729e0cc57b319ed8d272caff883b8ffb75ef715a502,reports/mm/Q19/mm_router_routed/final_summary.json,73bd09e4e8ca111af1db58ef605670c89668b2b40a2830c89b09153e0f55fbe3
Gemini 3.1 Flash Lite,Q20,Research,40.1076,40.108,-0.0004,67.877,66.194545,91.156123,61.75,44.662,100.0,9.0,0.0,0.0,14.004,0.004877,,0.004877,True,reports/Q20.md,06b8adda3b5e41d942bfd35230ebeb5db15a63295764e27260b8778e3f1f002e,reports/mm/Q20/mm_router_routed/final_summary.json,f1ea880c17ee4011866d848b1ec7e09d847cd87937f31f6363933a4142f03490
Gemini 3.1 Flash Lite,Q22,Research,57.8053,57.805,0.0003,59.356,56.11487,70.213494,55.25,47.296,100.0,5.4,0.0,0.0,74.287,71.430525,100.0,0.006839,True,reports/Q22.md,46527de2e1196ffb9c821ed35d3a32d6aa339ba1fe64675ac2cda69e667b4acc,reports/mm/Q22/mm_router_routed/final_summary.json,1329c2ebaefcd63a6ecf1a2f56bbe562b338498f9b1cea56eb3eb1d72f208d8c
Gemini 3.1 Flash Lite,Q21,Research,42.207,42.207,-0.0,49.299,69.124131,58.711053,32.5,15.5022,0.0,16.036364,40.0,0.0,81.987,79.985246,,79.985246,True,reports/Q21.md,f5e1cc6e624dfab365f8818b2e9d63302864c0aa9b87f678dc7b129fa9043d2a,reports/mm/Q21/mm_router_routed/final_summary.json,b8ec118c2def76c92999aa8f6ea200f0f2638cd0d3fadc9605690e9423c412c1
Gemini 3.1 Flash Lite,Q24,Research,46.4671,46.467,0.0001,45.082,52.130498,49.07041,35.75,44.4622,100.0,7.03125,0.0,0.0,50.732,42.877027,100.0,33.356532,True,reports/Q24.md,58626e090c124005b3d7bb5f722b41672b7d9f1d2676a221567e24a870db0dae,reports/mm/Q24/mm_router_routed/final_summary.json,ad7a3b5fd0473da514f1ae82da9d53f4c879aa08aa1ee96cdb55b7fe6b5fb951
Gemini 3.1 Flash Lite,Q23,Research,62.3745,62.374,0.0005,47.096,55.148944,49.07041,35.75,56.7106,100.0,15.652393,32.5,10.331126,82.0,80.0,100.0,0.0,True,reports/Q23.md,c2d7aad61c594369a2df093cddd1439b6a1fc78f438bcf75632708aa46c736e7,reports/mm/Q23/mm_router_routed/final_summary.json,d2a35176aab739be4a295aa29781a68441f5ec343299047600791ea822d171af
Gemini 3.1 Flash Lite,Q26,Research,42.1537,42.154,-0.0003,52.169,61.860791,61.897464,45.5,3.4398,0.0,6.0,0.0,0.0,100.0,100.0,100.0,,True,reports/Q26.md,639befd117be0979ef337a6df1fbc2c31d3f17a8335706afb307e24bfbf67d4c,reports/mm/Q26/mm_router_routed/final_summary.json,89912dfa65dffd113872ae379bd55f3d632744fbacbf58aae2d5263ec5dbb5fe
Gemini 3.1 Flash Lite,Q25,Research,61.4634,61.463,0.0004,66.551,64.24593,97.656123,55.25,49.0858,100.0,12.857143,0.0,0.0,78.701,74.942479,100.0,37.356197,True,reports/Q25.md,a5448445610a7a2ceabbcbee5979a18c48511c08d22e07018125b2a78c2629d4,reports/mm/Q25/mm_router_routed/final_summary.json,ade0ed86c048fe0a4c7158dc6eea981732d80c6d898a9d62bd803a8246e5a27d
Gemini 3.1 Flash Lite,Q28,Research,34.673,34.673,0.0,46.3,54.645901,49.07041,35.75,17.826,0.0,25.666667,33.333333,0.0,55.0,50.0,66.666667,0.0,True,reports/Q28.md,ad9e9888c1b8a30b09ff72709e868803571c244ce5234317f15ba5249af7bd1e,reports/mm/Q28/mm_router_routed/final_summary.json,a48cb0f9f2f08e2c3905c4cf06a0b4796f891655b282cd20ff503b82c195bad7
Gemini 3.1 Flash Lite,Q27,Research,54.1443,54.144,0.0003,44.93,52.926081,49.07041,35.75,56.6218,100.0,21.622222,36.0,0.0,56.158,50.362487,75.0,1.08746,True,reports/Q27.md,2d8bf6aea44219a15c3599402f29d5291f7600bcf4b336e15c6e3c3fe254aca6,reports/mm/Q27/mm_router_routed/final_summary.json,26d66fd53f999a2f2d0c5ad02d6a0869ba90d7e90aed0df639aa71849ab8bb2d
Gemini 3.1 Flash Lite,Q30,Research,55.2115,55.212,-0.0005,64.879,62.527798,79.480588,55.25,47.1856,100.0,4.909091,0.0,0.0,62.143,57.142857,100.0,0.0,True,reports/Q30.md,55c42d7f323c82cd5b6f00d8a80ab249fec444b5e853a54594b4ce6ae6be81b8,reports/mm/Q30/mm_router_routed/final_summary.json,9f4208582826a28eb2cd0f6560819862b184d0a3693e05a9a8a17ced8d9ece7a
Gemini 3.1 Flash Lite,Q29,Research,57.6493,57.649,0.0003,63.715,70.962488,91.781037,52.0,48.3298,100.0,6.033803,13.333333,0.0,69.138,65.65229,100.0,48.478435,True,reports/Q29.md,fdeee8f70791f0c8829d74ad4ca366f9395e3669bbae128ecfa0bd7faa3be63b,reports/mm/Q29/mm_router_routed/final_summary.json,52173b925e9848b4c4617f1a58fe67836d0133c4766e648b9da3aaf4021f6cca
Gemini 3.1 Flash Lite,Q31,Research,64.5204,64.52,0.0004,47.108,57.167137,49.07041,35.75,50.1976,100.0,18.0,0.0,0.0,100.0,100.0,100.0,,True,reports/Q31.md,d0d90b91a7f707afb94bf526f915b768ae8687b5ed695e08dcb8b036b52528bc,reports/mm/Q31/mm_router_routed/final_summary.json,9a534972ffdbd77136679300dc5eeb80da368169d39c8ee73f151d449c5d281d
Gemini 3.1 Flash Lite,Q32,Research,63.9762,63.976,0.0002,44.963,54.731661,58.395227,39.0,49.9672,100.0,15.428571,0.0,0.0,100.0,100.0,100.0,,True,reports/Q32.md,ba8ada64891beb75c09e472b616ced3f88a6cf17e0f3ab0d18ac9b709bdc50a5,reports/mm/Q32/mm_router_routed/final_summary.json,c8aede50a651424df878ca67ceab9c2dc477a8655b6b4001e16cffa3f8429841
Gemini 3.1 Flash Lite,Q33,Research,43.3473,43.347,0.0003,23.657,6.639931,83.094874,0.0,46.1602,100.0,9.0,0.0,0.0,51.786,45.634986,100.0,4.861226,True,reports/Q33.md,9c6742a5a95635fc33e6d9609c91c415135b710b23f92859993c57d25c197798,reports/mm/Q33/mm_router_routed/final_summary.json,d6d3996edbb166e20f33f565ed4439e5c04d345883cbf00502bf2023214c319f
Gemini 3.1 Flash Lite,Q34,Research,48.0374,48.037,0.0004,57.684,57.841442,91.465647,52.0,47.5918,100.0,10.8,0.0,0.0,42.349,35.153231,100.0,9.214524,True,reports/Q34.md,3026e3405bc51a654c0f88ad0ec1506d96555741a4c921f3a542931a6ef377be,reports/mm/Q34/mm_router_routed/final_summary.json,b2df8880b1ea251e38175942a87c51fb25d8fa1674ef74d58f4a0fc8b7827491
Gemini 3.1 Flash Lite,Q35,Research,51.1087,51.109,-0.0003,55.682,60.322471,56.905518,52.0,19.9446,0.0,19.918367,55.0,0.0,100.0,100.0,100.0,,True,reports/Q35.md,8563f41d55c45de575f1cca8637dfe63fa995a82459a0b20eb416c301872a913,reports/mm/Q35/mm_router_routed/final_summary.json,3759c1040a2f65c463fbc2fa570361a62bc2113a6fc9761f08242c9ceb14376b
Gemini 3.1 Flash Lite,Q36,Research,58.6769,58.677,-0.0001,58.569,55.191216,51.696823,58.5,49.24,100.0,13.5,0.0,0.0,74.477,71.640993,100.0,33.828985,True,reports/Q36.md,5901ff38b6a0b7e2df07d41ebd3fe96d191072bb1fa162a8e95eb56ab8f35fcf,reports/mm/Q36/mm_router_routed/final_summary.json,5f7fcf463462667d90a97f3cff65b6edba7aa9f32f1e03e3c452c46c1555bfc9
Gemini 3.1 Flash Lite,Q37,Research,34.1872,34.187,0.0002,70.936,66.67073,100.0,65.0,40.0,100.0,0.0,0.0,100.0,0.0,,,,True,reports/Q37.md,05e62580ef2fef418bd1f9911a79f85c3cd4919d2eef35908c2887f3789555b8,,
Gemini 3.1 Flash Lite,Q38,Research,29.2354,29.235,0.0004,46.177,54.978037,49.07041,35.75,40.0,100.0,0.0,0.0,100.0,0.0,,,,True,reports/Q38.md,099620cf860b6251c952a1b74b3d88c3fbf263e3c7843a2302c4db57eb2aaaa6,,
Gemini 3.1 Flash Lite,Q39,Research,48.1142,48.114,0.0002,73.719,66.857811,99.406665,65.0,47.2402,100.0,13.5,0.0,0.0,32.501,25.000995,50.0,0.001989,True,reports/Q39.md,eebd2d462607bbd8802733b2537a5aa0dcc97b224bb36765e887bf2e6346ea09,reports/mm/Q39/mm_router_routed/final_summary.json,b4ad9bb5344b71f46e9d7e05dd5be5e4eb75a5e3b8df17dc75ac52e3dd8d9520
Gemini 3.1 Flash Lite,Q40,Research,50.3385,50.338,0.0005,63.29,64.568314,97.072852,55.25,46.561,100.0,8.307692,0.0,0.0,48.0,40.0,100.0,0.0,True,reports/Q40.md,0689fdd05a3bfaa68b414d7c7fedf9088e286547408bfb7922e2bcb8c52895d7,reports/mm/Q40/mm_router_routed/final_summary.json,2f90616a343ae4a3092d63771394f330fe7d004e9818a669133e72bacaf83724
Gemini 3.1 Flash Lite,Q41,Research,58.5666,58.567,-0.0004,68.18,63.602538,98.25,58.5,65.716,100.0,22.067692,62.857143,33.275468,40.242,33.602072,0.0,42.00259,True,reports/Q41.md,478c92aca5851e74a28f11edb808131291e1fd9cc03a62814ab9a31d014a9a60,reports/mm/Q41/mm_router_routed/final_summary.json,3724ef0ce5e53dc357cfe442e34c4749376ac062fb5dabb407d57c465c3ce92d
Gemini 3.1 Flash Lite,Q42,Research,34.6319,34.632,-0.0001,33.582,63.622569,97.072852,0.0,49.249,100.0,4.636364,9.230769,16.605166,10.97,1.077593,,1.077593,True,reports/Q42.md,1d09f3fbcfba36efd49a9ec1cddf55936aa14832a9fcc81646ee2841aa68675a,reports/mm/Q42/mm_router_routed/final_summary.json,6fe8e06b514233b617fc3f43043f2ba6df48fe84b0be7120667242a5ef74726a
Gemini 3.1 Flash Lite,Q44,Research,59.187,59.187,0.0,69.281,60.438497,97.072852,61.75,47.662,100.0,9.0,0.0,0.0,71.666,66.665626,,66.665626,True,reports/Q44.md,1b3ad0fcb3bc0ce6f195f89d3c4f95518df8b9c02071b56389909747902816ab,reports/mm/Q44/mm_router_routed/final_summary.json,ce46d8e74263aeac8c8c549ed0d03080107af0f833a19a8c4eaf6f01fa35139e
Gemini 3.1 Flash Lite,Q43,Research,67.9006,67.901,-0.0004,67.621,63.994343,97.072852,61.75,48.7528,100.0,12.0,0.0,0.0,100.0,99.999677,,99.999677,True,reports/Q43.md,62a97dcffa272e5eae05667713da0b4794d40c6af0a1d021f9c313d3e7d32979,reports/mm/Q43/mm_router_routed/final_summary.json,43af2f8140d9be18661dd0dbf548070e194f7ea59910c451b16b6ccf182516a4
Gemini 3.1 Flash Lite,Q45,Research,20.081,20.081,0.0,67.783,67.340927,95.905518,58.5,7.0488,0.0,2.25,0.0,30.0,10.0,0.0,,0.0,True,reports/Q45.md,76bdf7b7f0364697c041d180c489929b6f2592fdee9c6a45c8f8f9eb21866b7e,reports/mm/Q45/mm_router_routed/final_summary.json,21911daed0326e09e87d6565026063eb7b5eee2ba621eb10da8eb12cc84c0b1c
Gemini 3.1 Flash Lite,Q46,Research,48.2523,48.252,0.0003,60.305,61.904488,96.5,52.0,48.5128,100.0,4.105691,10.707071,4.83769,39.783,33.092235,100.0,21.940941,True,reports/Q46.md,923fc958bd72f4239e860c277aa33e03b0acd0a7f10b7e523a3bc91662e55775,reports/mm/Q46/mm_router_routed/final_summary.json,bb05f844b2278ef41a509ee5decf5e51d6f6847ebf8af511de4a9c5753b43cdc
Gemini 3.1 Flash Lite,Q47,Research,56.537,56.537,0.0,70.911,67.045417,100.0,65.0,76.7062,100.0,66.666667,50.0,85.714286,13.339,0.006189,,0.006189,True,reports/Q47.md,1717f04b0476fd93f89040f104147962efc2f83001db6dc763b36de16457ab9f,reports/mm/Q47/mm_router_routed/final_summary.json,cbbcd3c9bbcd720b74fc60d79bae22d261871c188805682b70d6e44172df3251
Gemini 3.1 Flash Lite,Q48,Research,38.102,38.102,0.0,60.31,63.103018,68.715647,58.5,5.7756,0.0,13.5,0.0,0.0,77.174,74.637276,100.0,66.183035,True,reports/Q48.md,b5fd37726293d40b3b5214c755bf31980a0a3629b826fc07f0a8688ba28d83f3,reports/mm/Q48/mm_router_routed/final_summary.json,e2e7285c366a3073920137d68d627fd5955318e893f0283a6419cb7c993533ed
Gemini 3.1 Flash Lite,Q49,Research,31.5344,31.534,0.0004,64.786,75.82026,97.656123,52.0,7.5642,0.0,9.0,0.0,0.0,49.317,40.373105,,40.373105,True,reports/Q49.md,d649d5f5c039b5f8aee98ade9cb2f9b78f96cffad625540bb0b7d3f8cea107e7,reports/mm/Q49/mm_router_routed/final_summary.json,c0b05d468a4845aa086c22a72e5ac6f713586093831ce73fe169362dbbf8437b
Gemini 3.1 Flash Lite,Q50,Research,73.5901,73.59,0.0001,67.003,64.776046,97.072852,58.5,71.374,100.0,43.043478,48.0,66.666667,81.675,79.639059,,79.639059,True,reports/Q50.md,9ec946abb912a3edd7a708fa68b5eb3e468ae0ee2a012d1994ab996d83d018c3,reports/mm/Q50/mm_router_routed/final_summary.json,e4205e20c3133a3bcab3ed5e91702be7222fb99d05a2dd4ee139e0589bb3bf62
Gemini 3.1 Flash Lite,Q51,Research,11.0801,11.08,0.0001,16.219,9.429821,91.636721,0.0,9.6372,0.0,7.2,16.0,0.0,10.059,0.065318,,0.065318,True,reports/Q51.md,97baf4ee8891421b4b41f6df7e3d2f9fde6ef38c7651381ebd2a3d4f71943e82,reports/mm/Q51/mm_router_routed/final_summary.json,a29fe4590912d1084eae5d3c64a0e3323535c5953bc5bb857fd6adf87fd94658
Gemini 3.1 Flash Lite,Q52,Research,56.5086,56.509,-0.0004,63.518,60.656713,97.072852,58.5,48.4504,100.0,12.0,0.0,0.0,65.266,61.406899,,61.406899,True,reports/Q52.md,e8ad68e8fd79cc2e0ce6fc1804ad3c447ac325ae8d911ada461c75e0afe75682,reports/mm/Q52/mm_router_routed/final_summary.json,9ae827d764c770b5b7be562c62266d6f3cecb8ec85a5939b7f2a053be4211ac3
Gemini 3.1 Flash Lite,Q53,Research,54.304,54.304,0.0,62.05,62.234323,95.905518,55.25,41.788,100.0,0.0,0.0,0.0,70.0,66.666667,100.0,0.0,True,reports/Q53.md,6ae04ade230f3419ac0d941c7270fbcf3c266a14d7c9afb371fb842082d28eb1,reports/mm/Q53/mm_router_routed/final_summary.json,ef4c8ab0488dbeccf01b54d31f1df9e49b5749ec5c86fd200e38b83f3fd91cd2
Gemini 3.1 Flash Lite,Q54,Research,49.2966,49.297,-0.0004,62.27,64.049944,96.5,52.0,45.8014,100.0,10.5,0.0,0.0,46.473,39.699615,,39.699615,True,reports/Q54.md,81f26a05621e42d70d5d2facc5c7623baa244fb1b2ebf0b92f50fe02db1957ef,reports/mm/Q54/mm_router_routed/final_summary.json,0d2a97f6df16843c21bf2514c7505f17a9100290850e94866658bc23e1631a5d
Gemini 3.1 Flash Lite,Q55,Research,55.1379,55.138,-0.0001,16.256,6.320819,91.636721,0.0,54.5734,100.0,12.71875,25.0,15.0,82.0,80.0,100.0,0.0,True,reports/Q55.md,09fe6d3ec01e9154ea71003b1cc937288bbcc7f4f693d1fb31295765264fa6e6,reports/mm/Q55/mm_router_routed/final_summary.json,a21fc83eb7c80d459bc07523099e84ffa44ba51b3ab2edaf2d7e8933c418cf9b
Gemini 3.1 Flash Lite,Q57,Research,40.1005,40.1,0.0005,68.224,61.614882,96.5,55.25,46.9114,100.0,14.4,0.0,0.0,10.0,0.0,0.0,,True,reports/Q57.md,3540b7d06dcc01d77db122705a3253ea6eff2bb31faf23491f151e40d9a6318c,reports/mm/Q57/mm_router_routed/final_summary.json,b76ef7073d171e70b9bdc7b0ba0f28e67ed3594e8349fd8a8f40a30480cbb4df
Gemini 3.1 Flash Lite,Q56,Research,65.6853,65.685,0.0003,66.029,66.841976,100.0,58.5,64.078,100.0,41.651613,54.736842,0.0,68.135,64.594805,,64.594805,True,reports/Q56.md,3c2695eccc5d02e9b674b479fafb72ef13bde035809b0f44349d1107188d6a47,reports/mm/Q56/mm_router_routed/final_summary.json,a2c5eba6fd7e09b7b1f0d84e9e4c58c0f68706a56fd60af55d0f64aaca541c34
Gemini 3.1 Flash Lite,Q58,Research,14.9849,14.985,-0.0001,39.394,46.083272,38.812469,39.0,6.2082,0.0,3.0,0.0,0.0,13.34,0.933785,,0.933785,True,reports/Q58.md,6d37bafd683a1328897346f6599d00592d67025897f190f06d860ba0cc5bf9ab,reports/mm/Q58/mm_router_routed/final_summary.json,7c2e046c5296432f444c90f5668c2182723adc28730de47d50f46dde514c7155
Gemini 3.1 Flash Lite,Q59,Research,58.4062,58.406,0.0002,26.932,6.900466,91.636721,0.0,62.0032,100.0,26.852459,42.5,19.78022,73.394,70.437953,100.0,60.583937,True,reports/Q59.md,7ad2d85f79f679aa20dde19142cc33db2213596998ebddff68784a02582aa612,reports/mm/Q59/mm_router_routed/final_summary.json,15c20b8bbb61d219b4ca983454482e277360f0440b88482d03e0734326b4493a
Gemini 3.1 Flash Lite,Q60,Research,54.4568,54.457,-0.0002,71.58,60.478604,100.0,65.0,45.7816,100.0,8.181818,0.0,0.0,57.5,50.0,100.0,0.0,True,reports/Q60.md,16bdb979a63731784252d8198253cc7c6c2defd825bd7670a6130ca6cb25f7ee,reports/mm/Q60/mm_router_routed/final_summary.json,039953d96d6e7dac731c8c890dbb676ced470ba9d1a426a0cf92e9cd8f3ec20f
Gemini 3.1 Flash Lite,Q61,Research,50.7907,50.791,-0.0003,60.877,64.251663,97.072852,52.0,47.2618,100.0,6.545455,0.0,0.0,49.948,42.291721,100.0,3.819536,True,reports/Q61.md,90db1faaef9e1240280c216358331016bcd6213b9dfb06ac3dd213162431e084,reports/mm/Q61/mm_router_routed/final_summary.json,a07fc62ffae339393b599d77129fe19c0e531d4c67ed11c55c9a3128c9dcd66a
Gemini 3.1 Flash Lite,Q62,Research,62.1596,62.16,-0.0004,64.965,62.100619,93.25,58.5,51.8596,100.0,23.75,0.0,0.0,77.456,74.951001,,74.951001,True,reports/Q62.md,270f91f8c31df7b27e0fd23f906721f5272952607cc702ae30aaab2614b4e283,reports/mm/Q62/mm_router_routed/final_summary.json,69ca165f4481c211d79e0e1ec43a0ed92659520e45a675616c465ae033941233
Gemini 3.1 Flash Lite,Q64,Research,33.8634,33.863,0.0004,69.317,65.011544,97.656123,58.5,40.0,100.0,0.0,0.0,100.0,0.0,,,,True,reports/Q64.md,1254c58ea12fe88af0abb972c1374b37977e390dd8428582560d94b5a6da8092,,
Gemini 3.1 Flash Lite,Q63,Research,39.9814,39.981,0.0004,58.129,62.087684,93.822852,32.5,48.16,100.0,9.0,0.0,0.0,14.252,4.724042,,4.724042,True,reports/Q63.md,ccc6515e892db353f7899296ba90fa35e86111a23aea2a9ef7e5f5bc2637f9c6,reports/mm/Q63/mm_router_routed/final_summary.json,103f90601543c3d334aedcc5bc4ba6e6630748d6b1707bd1f3a7a6e77bc8756f
